distrito,barrio,Superficie (Ha.),Población densidad (hab./Ha.),Número Habitantes,Población Hombres,Población Mujeres,Edad media de la población,Población de 0 a 14 años,Población de 15 a 29 años,Población de 30 a 44  años,Población de 45 a 64 años,Población de 65 a 79 años,Población de 80 años y más,Población de 65 años y más,Personas con nacionalidad española,Personas con nacionalidad española Hombres,Personas con nacionalidad española Mujeres,Personas con nacionalidad extranjera,Personas con nacionalidad extranjera Hombres,Personas con nacionalidad extranjera Mujeres,Renta neta media anual de los hogares (Urban Audit),Renta disponible media por persona,Paro registrado (número de personas registradas en SEPE en febrero),Paro registrado (número de personas registradas en SEPE en febrero) hombres,Paro registrado (número de personas registradas en SEPE en febrero) mujeres,Tasa absoluta de paro registrado (febrero),Tasa absoluta de paro registrado Mujeres,Tasa de desempleo en mujeres de 16 a 24 años,Tasa de desempleo en mujeres de 25 a 44 años,Tasa de desempleo en mujeres de 45 a 64 años,Tasa absoluta de paro registrado Hombres,Tasa de desempleo en hombres de 16 a 24 años,Tasa de desempleo en hombres de 25 a 44 años,Tasa de desempleo en hombres de 45 a 64 años,Personas paradas de larga duración (febrero),Personas paradas de larga duración (febrero) hombres,Personas paradas de larga duración (febrero) mujeres,Personas paradas que SÍ perciben prestaciones (febrero),Personas paradas que SÍ perciben prestaciones (febrero) hombres,Personas paradas que SÍ perciben prestaciones (febrero) mujeres,Personas paradas que NO perciben prestaciones (febrero),Personas paradas que NO perciben prestaciones (febrero) hombres,Personas paradas que NO perciben prestaciones (febrero) mujeres,Población en etapas educativas,Alumnado en Centros privados concertados,Alumnado en Centros privados sin concierto,Alumnado en Centros públicos,Total alumnado extranjero,Alumnado extranjero en Centros privados concertados,Alumnado extranjero en Centros privados sin concierto,Alumnado extranjero en Centros públicos,Total alumnado con necesidades de apoyo educativo,Alumnado con necesidades de apoyo educativo en Centros privados concertados,Alumnado con necesidades de apoyo educativo en Centros privados sin concierto,Alumnado con necesidades de apoyo educativo en Centros públicos,Población mayor/igual  de 25 años  que no sabe leer ni escribir o sin estudios,Población mayor/igual  de 25 años con enseñanza primaria incompleta,"Población mayor/igual  de 25 años con Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Población mayor/igual  de 25 años con Formación profesional 2º grado, Bachiller Superior o BUP","Población mayor/igual  de 25 años con titulación media, diplomatura, arquitectura o ingeniería técnica","Población mayor/igual  de 25 años  con estudios superiores, licenciatura, arquitectura, ingeniería sup., estudios sup. no universitarios, doctorado,  postgraduado",Población mayor/igual  de 25 años con Nivel de estudios desconocido y/o no consta,Casos trabajados por el programa de absentismo municipal,Número de personas con grado de discapacidad reconocido,Número de personas con grado de discapacidad reconocido Hombres,Número de personas con grado de discapacidad reconocido Mujeres,Satisfacción de vivir en su barrio,Calidad de vida actual en su barrio,Percepción de seguridad en Madrid,Percepción de seguridad en el barrio por el día,Percepción de seguridad en el barrio por la noche,Solicitudes tramitadas de Renta Mínima de Inserción,Personas perceptoras de prestación de la Renta Mínima de Inserción,Personas beneficiarias de prestaciones sociales de carácter económico,Total prestaciones sociales de carácter económico,Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar),Número Total de viviendas (Censo Edificios y Viviendas 2011),Viviendas anteriores a 1980,Viviendas en estado ruinoso,Viviendas en estado malo,Viviendas en estado deficiente,Viviendas en estado bueno,Estado de la vivienda no consta,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011),Número Total de viviendas familiares (Censo Edificios y Viviendas 2011) Principal,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011)  Secundaria,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011)  Población desocupada,Intervenciones de la Policía Municipal en materia de seguridad: delitos relacionados con las personas,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con la tenencia de armas,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con el patrimonio,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con la tenencia y consumo de drogas,Atestados/partes de accidentes de tráfico confeccionados,Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas,"Elecciones municipales, censo electoral","Elecciones municipales, abstenciones","Elecciones  municipales, votos en blanco","Elecciones municipales, votos a candidaturas","Elecciones municipales, votos a Más Madrid","Elecciones municipales, votos al Partido Popular","Elecciones municipales, votos a Ciudadanos-Partido de la Ciudadanía","Elecciones municipales, votos al Partido Socialista Obrero Español","Elecciones municipales, votos a VOX",Sedentarismo,Consumo de tabaco diario,Consumo de medicamentos,Autopercepción de buen estado de salud  (porcentaje respuesta muy buena + buena),Calidad de vida relacionada con la salud (CVRS),Presencia de enfermedad crónica,Hipertensión arterial,Diabetes Mellitus,Personas con obesidad,Personas con sobrepeso,Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM),Probabilidad de padecer enfermedad mental (GHQ-12)          (2018. EMS),Grado de satisfacción con los espacios verdes,Grado de satisfacción con los parques infantiles,Grado de satisfacción con los centros culturales,Grado de satisfacción con las instalaciones deportivas,Grado de satisfacción de los servicios sociales municipales,Superficie media construida (m2) inmuebles de uso residencial,Año medio de contrucción de inmuebles de uso residencial,Total hogares,Tamaño medio del hogar,Hogares con una mujer sola mayor de 65 años,Hogares con un hombre solo mayor de 65 años,Hogares monoparentales: una mujer adulta con uno o más menores,Hogares monoparentales: un hombre adulto con uno o más menores,Tasa de crecimiento demográfico (porcentaje),Esperanza de vida al nacer Mujeres,Esperanza de vida al nacer Hombres,Esperanza de vida mayor de 65 años Mujeres,Esperanza de vida mayor de 65 años Hombres,Crecimiento/decrecimiento Renta Bruta Per cápita 2016(a)-2008,Pensión media mensual Hombres,"Pensión media mensual  Mujeres
"
Arganzuela,Imperial,96.94,235.08,22577.25,10474.75,12102.5,46.44,2352.75,3200.25,4924.5,6996.5,3424.0,1679.25,5103.25,20943.0,9727.0,11332.0,1738.5,777.5,961.0,43026.19,19941.21,952.75,406.25,546.5,6.56,7.24,2.17,6.66,8.87,5.84,3.31,5.37,6.99,,,,,,,,,,2595.5,,,,,,,,,,,,395.5,1425.0,3250.75,3676.75,2236.25,7323.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18396.5,4336.5,95.5,13897.5,5309.0,4473.0,1552.5,1691.5,1057.0,,,,,,,,,,,,,,,,,,91.0,1971.0,9648.25,2.35,950.5,283.5,140.25,21.5,-0.3,,,,,,1693.5,1320.5
Villaverde,Butarque,638.0,31.02,20149.67,9754.0,10395.67,36.31,4447.33,2993.0,5317.67,5622.67,1336.0,433.0,1769.0,16988.67,8277.0,8539.5,2883.33,1343.67,1539.67,30953.0,,1242.0,465.33,776.67,9.04,10.86,6.21,11.37,11.71,7.07,6.4,6.65,7.76,,,,,,,,,,4798.0,,,,,,,,,,,,684.0,1350.67,5041.33,3107.0,1280.67,1971.67,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12746.5,4443.0,76.0,8129.5,3018.0,1660.5,839.0,1629.5,682.5,,,,,,,,,,,,,,,,,,110.0,1998.0,6943.33,2.86,228.67,83.67,335.33,49.0,4.19,,,,,,1322.0,906.0
Ciudad Lineal, Atalaya,24.89,65.17,1622.0,691.0,931.0,44.7,238.0,265.0,284.0,462.0,271.0,102.0,373.0,1419.0,611.0,,188.0,85.0,103.0,73959.0,28605.0,45.0,17.0,28.0,4.55,5.06,4.26,4.37,5.93,3.91,1.52,3.66,4.88,,,,,,,,,,256.0,,,,,,,,,,,,5.0,30.0,139.0,213.0,139.0,659.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.0,598.0,2.69,50.0,15.0,20.0,8.0,1.69,,,,,,1912.0,1284.0
Usera, Pradolongo,109.57,163.17,17878.0,8438.0,9440.0,42.17,2308.0,3302.0,4298.0,5107.0,1777.0,1086.0,2863.0,11055.0,4992.0,,6387.0,3227.0,3160.0,24874.03,8417.25,998.0,431.0,567.0,7.98,8.75,4.08,8.06,10.95,7.15,3.93,6.18,9.5,,,,,,,,,,2414.0,,,,,,,,,,,,875.0,2689.0,5882.0,2219.0,583.0,1111.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,6004.0,2.91,544.0,167.0,133.0,16.0,-2.62,,,,,,1310.0,948.0
Vicalvaro, Casco Histórico de Vicálvaro,2149.42,16.52,35519.0,17009.0,18510.0,44.07,4758.0,6050.0,7376.0,10217.0,4101.0,3017.0,7118.0,27650.0,13250.0,,7436.0,3675.0,3761.0,27739.83,10585.71,2274.0,1045.0,1229.0,9.79,10.44,5.48,10.3,12.18,9.12,5.13,8.46,11.14,,,,,,,,,,5108.0,,,,,,,,,,,,2518.0,4860.0,10732.0,4515.0,1359.0,2739.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,13392.0,2.62,1369.0,440.0,303.0,37.0,-1.31,,,,,,1347.0,914.0
Villaverde,"Villaverde Alto, Casco Histórico de Villaverde",925.0,50.1,46065.33,21922.33,24143.0,42.2,6749.33,8096.0,9832.67,13763.67,4653.67,2970.0,7623.67,36246.33,17129.33,19162.0,9950.0,4836.0,5114.0,24699.0,,3982.67,1699.33,2283.33,12.79,14.28,9.69,14.99,15.11,11.23,9.33,10.95,12.15,,,,,,,,,,7325.33,,,,,,,,,,,,3556.67,6030.33,13810.0,6126.0,1705.67,3045.33,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30202.5,12685.0,105.0,17208.5,5534.0,3883.5,1409.5,4671.5,1415.5,,,,,,,,,,,,,,,,,,87.0,1976.0,16518.67,2.8,1464.33,390.67,382.0,55.33,1.73,,,,,,1268.0,911.0
Hortaleza,Valdefuentes,1685.0,36.32,62507.33,30612.67,31894.67,34.71,15984.0,8069.67,17250.0,16497.0,3692.67,1014.0,4706.67,54890.0,27216.33,27231.0,6131.0,2654.67,3476.33,56097.0,,2119.67,818.67,1301.0,5.2,6.23,1.99,5.47,8.4,4.13,2.66,3.16,5.65,,,,,,,,,,16486.0,,,,,,,,,,,,544.67,1201.33,4639.67,6941.0,6116.67,20271.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40906.0,9405.5,233.5,31132.5,6329.0,13442.5,5570.0,2760.5,3215.5,,,,,,,,,,,,,,,,,,155.0,2005.0,20908.33,2.92,476.33,213.0,921.67,315.67,5.08,,,,,,1664.0,1257.0
Puente de Vallecas, San Diego,106.99,421.57,45104.0,21593.0,23511.0,40.31,6201.0,9056.0,11310.0,12804.0,3684.0,2049.0,5733.0,29233.0,13779.0,,13677.0,6755.0,6922.0,23954.26,8940.56,3077.0,1337.0,1740.0,9.44,10.42,4.05,10.16,12.96,8.41,5.21,6.78,11.6,,,,,,,,,,6274.0,,,,,,,,,,,,2075.0,5087.0,13716.0,6089.0,1653.0,3737.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.0,16277.0,2.64,1329.0,481.0,418.0,39.0,-1.54,,,,,,1278.0,941.0
Vicalvaro, Valdebernardo,255.51,68.38,17471.0,8330.0,9141.0,43.65,1674.0,4265.0,2222.0,6784.0,1941.0,585.0,2526.0,16020.0,7621.0,,1411.0,700.0,711.0,42891.05,15054.5,1113.0,431.0,682.0,8.47,10.0,4.02,10.88,11.75,6.82,4.31,8.21,7.1,,,,,,,,,,1945.0,,,,,,,,,,,,527.0,1092.0,3446.0,3151.0,1359.0,3120.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0,6095.0,2.86,341.0,118.0,95.0,29.0,-0.66,,,,,,1699.0,1252.0
Usera, Zofío,77.4,185.81,14382.0,6681.0,7701.0,43.22,1760.0,2759.0,3097.0,4254.0,1632.0,880.0,2512.0,10319.0,4763.0,,3702.0,1807.0,1895.0,28222.57,10021.97,811.0,340.0,471.0,8.11,8.93,3.75,8.41,11.17,7.19,4.72,5.7,9.67,,,,,,,,,,1836.0,,,,,,,,,,,,645.0,1838.0,4454.0,2050.0,534.0,1162.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,5035.0,2.78,494.0,121.0,98.0,7.0,-2.21,,,,,,1369.0,1011.0
